base_year,adm_dr_cd,adm_dr_nm,sigungu_nm,sido_nm,sido_nm_1,sigungu__1,sido_nm_12,sigungu__3,Included,Predicted,StdError
2018,1104058,응봉동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00265565398,0.00345730347
2018,1104059,금호1가동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00297781088,0.00423085761
2018,1104062,금호4가동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00262874508,0.00440813258
2018,1104065,성수1가1동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00328346274,0.00414300717
2018,1104066,성수1가2동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00290497919,0.00272024204
2018,1104067,성수2가1동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00472680089,0.00462323086
2018,1104068,성수2가3동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00523467522,0.00430366173
2018,1104069,송정동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00627902304,0.00432090815
2018,1104070,용답동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00540690441,0.00427377145
2018,1104071,왕십리도선동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00426052945,0.00446994272
2018,1104072,금호2·3가동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00285579775,0.00438754086
2018,1104073,옥수동,11040,11,서울특별시,성동구,서울,성동구,Yes,0.00254599782,0.00465149635
2018,1105053,화양동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00771097322,0.00406307632
2018,1105054,군자동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00770650795,0.00411551678
2018,1105055,중곡1동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.0071082039,0.00445577478
2018,1105056,중곡2동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00778697781,0.00425938567
2018,1105057,중곡3동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00650787572,0.00462006971
2018,1105058,중곡4동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00669443708,0.00465901049
2018,1105059,능동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00924994192,0.0032829331
2018,1105060,구의1동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.0090966571,0.00335790616
2018,1105061,구의2동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00845112925,0.0039159213
2018,1105062,구의3동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00758114518,0.00426731506
2018,1105063,광장동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00706272254,0.00451021385
2018,1105064,자양1동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00748321765,0.00426881154
2018,1105065,자양2동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00648471682,0.00462931814
2018,1105066,자양3동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00610124801,0.0046798018
2018,1105067,자양4동,11050,11,서울특별시,광진구,서울,광진구,Yes,0.00556824061,0.00469866763
2018,1106071,회기동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00471371938,0.00422929626
2018,1106072,휘경1동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00486093275,0.00415755153
2018,1106073,휘경2동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00536953865,0.00396333502
2018,1106080,청량리동,11060,11,서울특별시,동대문구,서울,동대문구,Yes,0.00511259907,0.00404772034
